NAME,MSINI,A,PER,ECC,OM,T0,K,ORBREF,ORBURL,FIRSTREF,FIRSTURL,R,PLANETDISCMETH,DATE,MASS
Kepler-273 b,,0.0401325,2.936532,,90,2454968.71482,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,0.133821,Transit,2014,0.0117855
Kepler-323 c,,0.0455761,3.553822,,90,2454967.64078,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,0.145419,Transit,2014,0.0121124
Kepler-84 d,,0.0511438,4.224537,,90,2454968.43327,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,0.123115,Transit,2014,0.00893492
Kepler-267 c,,0.0707769,6.87745,,90,2454965.08303,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,0.190026,Transit,2014,0.0158724
HAT-P-16 b,4.1951,0.0413275,2.77596,0.036,214,2455025.754,531.1,Buchhave 2010,http://adsabs.harvard.edu/abs/2010ApJ...720.1118B,Buchhave 2010,http://adsabs.harvard.edu/abs/2010ApJ...720.1118B,1.289,Transit,2010,4.2025
TrES-4 b,0.913019,0.0509243,3.553945,0,90,2454230.9053,97.4,Mandushev 2007,http://adsabs.harvard.edu/abs/2007ApJ...667L.195M,Mandushev 2007,http://adsabs.harvard.edu/abs/2007ApJ...667L.195M,1.783,Transit,2007,0.925
Kepler-231 c,,0.140675,19.271566,,90,2455019.76907,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,0.172183,Transit,2014,0.0142208
Kepler-184 b,,0.0949568,10.687576,,90,2455002.93154,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,0.210545,Transit,2014,0.0181008
Kepler-60 b,,0.0750769,7.1316185,,,,,Steffen 2013,http://adsabs.harvard.edu/abs/2013MNRAS.428.1077S,Batalha 2013,http://adsabs.harvard.edu/abs/2013ApJS..204...24B,0.203227,Transit,2013,0.0172607
Kepler-151 b,,0.120241,15.228958,,90,2455009.55979,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,0.272995,Transit,2014,0.0279223
Kepler-242 c,,0.116354,14.496481,,90,2454976.41348,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,0.178428,Transit,2014,0.0147725
Kepler-230 b,,0.199823,32.625555,,90,2455027.13742,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,0.380052,Transit,2014,0.0596201
Kepler-351 c,,0.290701,57.24809,,90,2455017.69417,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,0.284593,Transit,2014,0.0303861
Kepler-350 b,,0.0979073,11.189562,,90,2454973.63108,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,0.165046,Transit,2014,0.0136211
Kepler-382 b,,0.0592083,5.262155,,90,2454969.36774,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,0.117763,Transit,2014,0.00769114
Kepler-209 b,,0.124721,16.087845,,90,2455005.81339,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,0.201624,Transit,2014,0.0170837
Kepler-123 c,,0.174808,26.695074,,90,2454976.99812,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,0.132037,Transit,2014,0.0112762
Kepler-59 c,,0.136086,17.9801235,,,,,Steffen 2013,http://adsabs.harvard.edu/abs/2013MNRAS.428.1077S,Borucki 2011,http://adsabs.harvard.edu/abs/2011ApJ...736...19B,0.180443,Transit,2011,0.0149563
KIC 11442793 b,,0.0761616,7.008151,,,,,Cabrera 2014,http://adsabs.harvard.edu/abs/2013arXiv1310.6248C,Cabrera 2013,http://adsabs.harvard.edu/abs/2013arXiv1310.6248C,0.117,Transit,2013,0.00752338
Kepler-258 b,,0.109294,13.19722,,90,2455004.54424,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,0.362209,Transit,2014,0.0537981
Kepler-309 c,,0.436563,105.356383,,90,2454971.68392,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,0.223927,Transit,2014,0.019783
Kepler-302 c,,0.495205,127.282184,,90,2454996.88937,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,1.11071,Transit,2014,1
Kepler-446 d,,0.0352283,5.148921,0,,,,Muirhead 2015,http://adsabs.harvard.edu/abs/2015ApJ...801...18M,Borucki 2010,http://adsabs.harvard.edu/abs/2010Sci...327..977B,0.123,Transit,2010,0.00890695
Kepler-4 b,0.0772272,0.0455763,3.21346,0,90,2454956.6127,9.3,Borucki 2010,http://adsabs.harvard.edu/abs/2010ApJ...713L.126B,Borucki 2010,http://adsabs.harvard.edu/abs/2010ApJ...713L.126B,0.357,Transit,2010,0.0772279
Kepler-261 b,,0.0931334,10.381227,,90,2455101.02361,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,0.194487,Transit,2014,0.0163243
Kepler-57 b,,0.0588891,5.7293196,,,,,Steffen 2013,http://adsabs.harvard.edu/abs/2013MNRAS.428.1077S,Borucki 2011,http://adsabs.harvard.edu/abs/2011ApJ...736...19B,0.195205,Transit,2011,0.0163986
Kepler-175 b,,0.102029,11.903515,,90,2455011.34082,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,0.228388,Transit,2014,0.020389
Kepler-323 b,,0.0276391,1.678327,,90,2454969.05307,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,0.127576,Transit,2014,0.0100631
Kepler-377 c,,0.176201,27.014976,,90,2454965.50842,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,0.183781,Transit,2014,0.0152673
Kepler-426 b,0.341143,0.0413383,3.21751883,0,,2441466.631964,50,Hebrard 2014,http://adsabs.harvard.edu/abs/2014A%26A...572A..93H,Borucki 2010,http://adsabs.harvard.edu/abs/2010Sci...327..977B,1.09,Transit,2010,1
Kepler-379 c,,0.309155,62.784697,,90,2454990.30359,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,0.2043,Transit,2014,0.0173806
WASP-20 b,0.309586,0.0599991,4.8996285,0,90,2455715.8,32.8,Anderson 2015,http://adsabs.harvard.edu/abs/2015A%26A...575A..61A,Anderson 2015,http://adsabs.harvard.edu/abs/2015A%26A...575A..61A,1.462,Transit,2015,0.311
Kepler-315 c,,0.808381,265.469335,,90,2454984.06838,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,0.370238,Transit,2014,0.056492
Kepler-80 c,,0.0788018,9.522,,,,,Xie 2013,http://adsabs.harvard.edu/abs/2012arXiv1208.3312X,Xie 2012,http://adsabs.harvard.edu/abs/2012arXiv1208.3312X,0.254,Transit,2012,0.022
Kepler-179 c,,0.067463,6.40013,,90,2455007.02343,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,0.178428,Transit,2014,0.0147725
CoRoT-27 b,10.371,0.0466557,3.57532,0,90,2455748.684,1326,Parviainen 2014,http://adsabs.harvard.edu/abs/2014arXiv1401.1122P,Parviainen 2014,http://adsabs.harvard.edu/abs/2014arXiv1401.1122P,1.007,Transit,2014,10.3882
